l_english:

NEW_john_charles_puddestere:0 "John Charles Puddestere"
NEW_lewis_edward_emerson:0 "Lewis Edward Emerson"
NEW_william_ewen_stavart:0 "William Ewen Stavart"
NEW_fred_vavasour:0 "Fred Vavasour"
NEW_james_winter:0 "James Winter"
NEW_john_barbour:0 "John Barbour"
NEW_pierre_edouard_leclerc:0 "Pierre Edouard Leclerc"
NEW_francis_roche:0 "Francis Roche"
NEW_basil_hallingham:0 "Basil Hallingham"
NEW_robert_forsynth:0 "Robert Forsynth"
NEW_alfred_howell:0 "Alfred Howell"
NEW_james_thomas:0 "James Thomas"
NEW_maxwell_coles:0 "Maxwell Coles"
NEW_humphrey_walwyn:0 "Humphrey Walwyn"
NEW_vincent_wakeham:0 "Vincent Wakeham"
NEW_david_coffey:0 "David Coffey"
NEW_cyril_roswell:0 "Cyril Roswell"
NEW_harold_lake:0 "Harold Lake"
NEW_william_mills:0 "William Mills"
